id,author_name,date_of_birth
1,J.K. Rowling,1965-07-31
2,George Orwell,1903-06-25
3,J.R.R. Tolkien,1892-01-03
4,Ernest Hemingway,1899-07-21
5,Agatha Christie,1890-09-15
6,Stephen King,1947-09-21
7,Jane Austen,1775-12-16
8,Mark Twain,1835-11-30
9,Harper Lee,1926-04-28
10,Lev Tolsztoj,1828-09-09
11,Gabriel García Márquez,1927-03-06
12,Franz Kafka,1883-07-03
13,Oscar Wilde,1854-10-16
14,Charles Dickens,1812-02-07
15,Arthur Conan Doyle,1859-05-22
16,C.S. Lewis,1898-11-29
17,Paulo Coelho,1947-08-24
18,Victor Hugo,1802-02-26
19,Dan Brown,1964-06-22
20,Suzanne Collins,1962-08-10
21,Margaret Atwood,1939-11-18
22,Haruki Murakami,1949-01-12
23,Neil Gaiman,1960-11-10
24,F. Scott Fitzgerald,1896-09-24
25,George R.R. Martin,1948-09-20
