id,title,author_name,main_genre,author_id,release_date,list_price,description
1,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,1.0,2000-04-26,32.67,""A young orphan named Harry Potter discovers he is a wizard and attends Hogwarts School of Witchcraft and Wizardry. He makes friends and enemies while uncovering the mystery behind the Sorcerer's Stone and his family's past."
2,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,1.0,2002-06-08,16.19,"""Harry Potter returns to Hogwarts, where sinister attacks threaten the safety of students. Harry and his friends investigate the secrets hidden within the Chamber of Secrets to save the school."
3,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy,1.0,2005-02-16,32.58,"""When a dangerous prisoner named Sirius Black escapes Azkaban, Harry learns shocking truths about his past. Together with his friends, Harry confronts time-travel mysteries and the shadow of betrayal."
4,1984,George Orwell,Dystopia,2.0,2012-09-29,5.46,"""Set in a totalitarian society, Winston Smith struggles against the omnipresent surveillance and mind control of Big Brother. The novel explores themes of truth, individuality, and repression."
5,Animal Farm,George Orwell,Dystopia,2.0,1963-12-12,48.21,"""On a seemingly ordinary farm, the animals rebel against their human master and govern themselves. Their quest for equality collapses into tyranny as the pigs seize power."
6,The Hobbit,J.R.R. Tolkien,Fantasy,3.0,2003-05-27,47.27,"""Bilbo Baggins, a gentle hobbit, is unexpectedly swept into an epic quest with a group of dwarves. Together they battle trolls, elves, and the fearsome dragon Smaug."
7,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,3.0,2001-01-15,14.4,""Frodo Baggins inherits a powerful ring and embarks on a perilous journey with a fellowship of heroes. The group faces great dangers as they attempt to destroy the One Ring."
8,The Old Man and the Sea,Ernest Hemingway,Fiction,4,2009-07-02,27.5,"""An aging Cuban fisherman sets out on a quest to catch an enormous marlin. His struggle becomes a testament to endurance, pride, and the spirit of never giving up."
9,A Farewell to Arms,Ernest Hemingway,Romance,4,1986-02-03,44.7,"""A poignant romance unravels between an American ambulance driver and a British nurse during World War I. Their relationship faces the challenges of war, loss, and hope."
10,Murder on the Orient Express,Agatha Christie,Mystery,5.0,2001-03-30,31.83,"""Detective Hercule Poirot is thrust into a baffling murder case aboard the luxurious Orient Express. As evidence unfolds, every passenger becomes a suspect in this classic mystery."
11,And Then There Were None,Agatha Christie,Mystery,5.0,1963-02-27,27.27,"""Ten strangers are invited to a secluded island, where they are accused of past crimes. One by one, they are murdered, and paranoia mounts as the survivors search for the killer."
12,The Shining,Stephen King,Thriller,6.0,2016-06-29,39.25,"""The Torrance family arrives at the haunting Overlook Hotel, where supernatural forces prey on their weaknesses. Jack descends into madness, placing his family in grave danger."
13,It,Stephen King,Horror,6.0,1984-08-26,9.02,"""In the town of Derry, children are terrorized by a shape-shifting entity that takes the form of Pennywise the Clown. A group of friends unite to confront their deepest fears."
14,Pride and Prejudice,Jane Austen,Romance,7.0,2001-07-25,16.5,"""Elizabeth Bennet navigates love, societal expectations, and personal prejudice as she encounters the enigmatic Mr. Darcy. Their journey is filled with wit, misunderstandings, and growth."
15,Emma,Jane Austen,Romance,7.0,1987-07-24,32.57,"""Emma Woodhouse, a clever and mischievous young woman, takes matchmaking into her own hands. Her efforts lead to unexpected revelations about love and friendship."""
16,Adventures of Huckleberry Finn,Mark Twain,Adventure,8.0,1996-09-08,9.25,""Huckleberry Finn escapes his troubled home and sets off on a journey down the Mississippi River. He encounters diverse characters and learns about freedom and morality."
17,To Kill a Mockingbird,Harper Lee,Fiction,9.0,2004-12-13,19.77,"""Scout Finch grows up in a racially divided Southern town, witnessing her father's courageous defense of a black man falsely accused of rape. The novel explores justice, empathy, and social change."
18,War and Peace,Lev Tolsztoj,History,10.0,1970-01-20,5.04,"""Set during the Napoleonic Wars, this sweeping epic follows the lives of Russian aristocrats. Themes of love, power, and fate intertwine across the landscape of history."
19,Anna Karenina,Lev Tolsztoj,Romance,10.0,2004-03-20,7.24,"""Anna Karenina's passionate affair defies social conventions, leading to personal tragedy. The story delves deeply into love, honor, and human frailty."
20,One Hundred Years of Solitude,Gabriel Garcia Márquez,Magical Realism,11.0,1975-11-29,10.14,"""The Buend�a family's fortunes and misfortunes unfold in the mythical town of Macondo. The novel weaves together magical realism, history, and destiny."
21,The Metamorphosis,Franz Kafka,Philosophy,12.0,1996-07-19,45.61,"""Gregor Samsa wakes up one morning transformed into a giant insect. His change exposes the fragility of identity and the limits of familial love."
22,The Picture of Dorian Gray,Oscar Wilde,Philosophy,13.0,1991-01-28,46.39,"""Dorian Gray's portrait ages, while he remains youthful and pursues a life of excess. The tale explores the consequences of vanity and moral corruption."
23,A Tale of Two Cities,Charles Dickens,History,14.0,1965-01-12,9.8,"""In Paris and London during the French Revolution, lives entwine amid chaos and valor. Sacrifice and redemption echo in Dickens's dramatic romance."
24,Great Expectations,Charles Dickens,Fiction,14.0,2015-05-09,41.66,"""Orphaned Pip longs for social ascent and falls in love with beautiful Estella. His journey is one of ambition, gratitude, and self-discovery."
25,Sherlock Holmes: A Study in Scarlet,Arthur Conan Doyle,Mystery,15.0,2020-12-02,42.95,"""Sherlock Holmes and Dr. Watson embark on their first investigation together, solving a murder with cryptic clues. Their partnership revolutionizes detective fiction."
26,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",C.S. Lewis,Fantasy,16.0,2018-08-29,47.39,"""Four siblings discover a magical world ruled by the evil White Witch. Guided by Aslan, they join a quest to save Narnia and restore peace."
27,The Alchemist,Paulo Coelho,Philosophy,17.0,1966-10-16,36.77,"""Santiago, a young shepherd, dreams of finding treasure in Egypt. His journey teaches him about destiny, self-discovery, and the soul of the world."
28,Les Misérables,Victor Hugo,History,18.0,1994-05-05,48.81,"""Jean Valjean's struggles for redemption unfold against the backdrop of revolutionary France. The novel explores justice, love, and sacrifice."
29,The Da Vinci Code,Dan Brown,Thriller,19.0,1976-05-16,16.27,"""Robert Langdon deciphers cryptic clues hidden in Leonardo da Vinci's works. Chased by secret societies, he uncovers ancient mysteries about faith and history."
30,Angels & Demons,Dan Brown,Thriller,19.0,2000-04-03,17.35,"""Langdon races against time to stop attacks on the Vatican. Science and religion collide in a thriller full of symbolism and suspense."
31,The Hunger Games,Suzanne Collins,Dystopia,20.0,2008-12-06,23.21,"""Katniss Everdeen competes in a televised death match in a dystopian future. She must fight for survival and challenge an oppressive system."
32,Catching Fire,Suzanne Collins,Dystopia,20.0,1975-12-18,19.95,"""New battles await Katniss as rebellion brews in the districts. The stakes are higher as she faces new enemies and grapples with her role in the uprising."
33,The Handmaid's Tale,Margaret Atwood,Dystopia,21.0,2016-08-30,37.55,"""Offred, a handmaid, is forced to bear children in a brutal patriarchal regime. She yearns for freedom and subverts her captors through small acts of rebellion."
34,Norwegian Wood,Haruki Murakami,Romance,22.0,1967-05-02,22.83,"""Toru Watanabe reflects on loss, love, and the passage of youth. Emotional and introspective, the story explores relationships and mental health."
35,Kafka on the Shore,Haruki Murakami,Philosophy,22.0,1978-03-04,19.68,"""Odd characters and surreal events shape Kafka's journey away from home. Reality and fantasy blur in a tale of self-discovery and prophecy."
36,American Gods,Neil Gaiman,Fantasy,23.0,2013-03-11,21.3,"""Shadow Moon becomes entangled in a war between old gods and new. His adventure reveals secrets about belief, mythology, and destiny."
